"Kelibia (Qulaybiyah)",36.8338,11.112,5
"Thauki´s Marine & Fabrication (Port Kennedy)",-10.5704,142.221,5
"Jonevika (Stokkastrandi)",59.2564,5.36339,7
"Club Nautico de Castellon (Castelló de la Plana)",39.97,0.028333,5
"Lakki Marina (Lakkíon)",37.1287,26.8493,5
"Puerto Deportivo Oropesa del Mar (Castelló de la P",40.075,0.136667,5
"Puerto Deportivo Las Fuentes (Alcocéber)",40.2467,0.286667,5
"Puerto de Peñiscola (Peníscola)",40.355,0.403333,5
"Marina de Benicarlo (Benicarló)",40.4083,0.436667,5
"Club Nautico Vinaroz (Vinaròs)",40.4583,0.476667,5
"Puerto de las Basetas (Altea)",38.6583,0.086667,5
"kós Marina (Kos)",36.8932,27.3012,5
"Áy Nikólaos Marina (Mésa Lasithákion)",35.185,25.7165,5
"Órmos Ammou (Papadátika)",39.8395,19.4111,7
"Kassiopi (Kérkyra)",39.7913,19.9233,7
"Limin Kerkira (Kérkyra)",39.6273,19.9181,5
"Sidi Daoud (Nabeul)",37.0207,10.9074,5
"Barracuda Marine (Cairns)",-16.9504,145.773,5
"La Goulette (Tunis)",36.8074,10.3099,5
"Tina´s Marina (Pinkenba)",-27.4393,153.126,5
"Sidi Bou Said (Sidi Bou Saïd)",36.8664,10.3508,6
"Ghar El  Melh (Ariana)",37.1525,10.2302,5
"Raby Bay Marina (Cleveland)",-27.5217,153.266,5
"Marina Bizerte (Bizerte)",37.2784,9.87913,5
"R Q Y S Marina Russell Island (Redland Bay)",-27.6452,153.381,5
"Ile De Galite (Béja)",37.5223,8.93892,5
"Newport Waterways Marina (Scarborough)",-27.2085,153.093,5
"Pacific Harbour Marina (Bellara)",-27.0498,153.143,6
"Port Albert Yacht Club (Port Albert)",-38.6732,146.695,5
"Royal Brighton Yacht Club (Brighton)",-37.9053,144.98,5
"Petriti (Kérkyra)",39.4535,20.0029,5
"Kavos (Kérkyra)",39.4153,20.1009,5
"Áy Stefanos (Kérkyra)",39.7533,19.6325,5
"Palaiokastritsa (Kérkyra)",39.6729,19.7083,5
"Órmos Lákka (Lákka)",39.2358,20.136,7
"Port Bardia (Tobruk)",31.7537,25.0915,5
"Mersa  Tobruch (Tobruk)",32.0733,23.9807,5
"Connells Point Sailing Club (Blakehurst)",-33.991,151.096,5
"Longos (Kérkyra)",39.226,20.162,7
"Derna (Darnah)",32.7624,22.6572,5
"Port Hacking Open Sailing Club (Miranda)",-34.0482,151.109,5
"Port Gaios (Klonátika)",39.2013,20.1863,5
"Sayiádha (Kérkyra)",39.6633,20.0969,7
"Al Furusiya Marina & Yacht Club - Jeddah KSA (Ar R",21.5095,39.1594,5
"Igoumenitsa (Igoumenitsa)",39.5059,20.2619,5
"Platarias (Platariá)",39.4523,20.2753,5
"Mourtos (Sývota)",39.4085,20.2379,5
"Vonitsa (Vónitsa)",38.9213,20.8947,7
"Ormos Vasiliki (Vasilikí)",38.6268,20.6066,5
"Ormos Sivota (Sývota)",38.6218,20.6829,7
"Spartakhori (Spartokhórion)",38.6616,20.7593,7
"Port Vathi (Vathí)",38.6641,20.7836,7
"Port Atheni (Vathí)",38.6614,20.7985,5
"Frikes (Fríkes)",38.4589,20.6641,5
"Port Kioni (Kiónion)",38.4495,20.6903,7
"Vathi (Itháki)",38.365,20.7186,7
"Bhenghazi (Banghazi)",32.1163,20.0351,5
"Ez Zueitina (Ajdabiya)",30.8999,20.0686,5
"Wollongong Yacht Club (Wollongong)",-34.4195,150.906,5
"Marsa El Brega (Ajdabiya)",30.4155,19.5831,5
"Ras Lanuf (Surt)",30.5074,18.5889,5
"Illawarra Yacht Club (Warrawong)",-34.4929,150.875,5
"Ras Es Sider (Surt)",30.6357,18.3688,5
"Port Kembla Sailing Club (Berkeley)",-34.4843,150.855,5
"Sirte (Surt)",31.2128,16.5836,5
"Port Romblon (Romblon)",12.5768,122.267,5
"Qasr Ahmed (Misratah)",32.3718,15.2258,5
"Sidi Barcu (Al Khums)",32.6836,14.2575,5
"Tarabulus (Tripoli)",32.9122,13.2348,5
"Argostoli (Argostólion)",38.1761,20.4907,5
"Lixouri (Lixoúrion)",38.2036,20.4397,5
"Maistratos Harbour (Argostólion)",38.187,20.4841,5
"Áy Kiriakis (Zóla)",38.3107,20.4756,7
"Assos (Ássos)",38.3781,20.5385,7
"Fiskardho (Fiskardo)",38.4607,20.5761,5
"Áy Eufimia (Agía Triáda)",38.3018,20.6007,5
"Sami (Sámi)",38.2539,20.6473,5
"Poros. (Póros)",38.1471,20.7804,5
"Palairos (Zaverda) (Paleros)",38.782,20.8776,7
"Vounaki Marina (Nomós Aitolías kai Akarnanías)",38.7716,20.878,5
"Mitika Harbour (Mýtikas)",38.6675,20.9486,5
"Port Kálamos (Nísos Kalamos) (Kálamos)",38.6232,20.9323,5
"Port Kastos (Kastós)",38.5677,20.9117,5
"Astakos (Astakós)",38.5321,21.0793,5
"Port Zakinthos (Zákynthos)",37.7812,20.9041,5
"Órmos Ay Nikólaos (Koríthion)",37.9079,20.7063,5
"Zawia (Tripoli)",32.7926,12.6785,5
"Marinturk Göcek Village Port (Göcek)",36.7441,28.9259,6
"Zuara (Zuw?rah)",32.9225,12.1202,5
"Jervis Bay Sailing Club (Huskisson)",-35.0002,150.726,5
"Abbu Kammash (Ab? Kamm?sh)",33.0811,11.7363,5
"Pointe du Cimetiere (El Kala)",36.8993,8.45632,5
"Vincentia Sailing Club (Huskisson)",-35.072,150.693,5
"Creswell Sailing Centre (Jervis Bay)",-35.1216,150.706,5
"Annaba (Annaba)",36.9055,7.77592,5
"Twofold Bay Yacht Club (Eden)",-37.0778,149.884,5
"Chetaibi (Chetaibi)",37.0663,7.38504,5
"Lake Jindabyne Sailing Club (Jindabyne)",-36.4105,148.599,5
"Skikda (Skikda)",36.888,6.9413,5
"Wagga Wagga Boat Club (Wagga Wagga)",-35.1721,147.367,5
"Collo (Collo)",37.0028,6.57238,5
"Botany Bay Yacht Club (Sans Souci)",-33.9925,151.127,5
"Katakólon (Katákolon)",37.6475,21.3203,5
"Kiparissia (Kyparissía)",37.2561,21.6661,5
"Marathoupolis (Marathópolis)",37.061,21.5738,5
"Pilos (Pýlos)",36.9188,21.7,5
"Methoni (Methóni)",36.8146,21.7068,5
"Finakounda (Foinikoús)",36.8057,21.8065,5
"Petalídhion (Petalídhion)",36.9591,21.9324,5
"Port Limeni (Néon Oítilon)",36.6807,22.3772,7
"Yíthion (Gýtheion)",36.7585,22.5683,5
"Elafonisos Village (Elafónisos)",36.5098,22.9821,5
"Neapolis (Oikonomiánika)",36.5088,23.0582,5
"Djen Djen (Jijel)",36.8295,5.89691,5
"Yarra Bay Sailing Club (Phillip Bay)",-33.9804,151.228,5
"Jijel (Jijel)",36.8171,5.77709,5
"Chipping Norton Lake Sailing Club (Chipping Norton",-33.9015,150.955,5
"Bejaia (Bejaïa)",36.7526,5.09911,5
"Royal Prince Edward Yacht Club (Sydney)",-33.8643,151.252,5
"Azzefoun (Azeffoun)",36.9022,4.42015,5
"Woollahra Sailing Club (Sydney)",-33.8646,151.253,5
"Dellys (Dellys)",36.9138,3.91806,5
"Double Bay Sailing Club (Sydney)",-33.8716,151.246,5
"Zemmouri Bahar (Zemmouri el Bahri)",36.8041,3.56024,5
"Australian 18 Footers League (Sydney)",-33.8732,151.243,5
"La Perouse (Algiers)",36.8054,3.23032,5
"Algiers (Algiers)",36.7838,3.06699,5
"Marina Istanbul (Istanbul)",41.0172,28.5763,6
"Sailability Rushcutters Bay Yacht Club (Sydney)",-33.8712,151.235,5
"Sidi Ferruch (Sidi Ferruch)",36.7634,2.84896,5
"RAN Sailing Association (Sydney)",-33.872,151.235,5
"Bou Haroun (Bou Haroun)",36.627,2.65569,5
"Sailors With Disabilities (Sydney)",-33.8674,151.236,5
"Port de Khemisiti (Bou Haroun)",36.6381,2.67122,5
"Army Sailing Club (Sydney)",-33.8689,151.235,5
"Tipasa (Tipasa)",36.5936,2.45099,5
"Balmain Sailing Club (Sydney)",-33.8514,151.176,5
"Cherchell (Cherchell)",36.6112,2.19066,5
"Drummoyne Sailing Club (Sydney)",-33.8533,151.162,5
"Tenes (Ténès)",36.5268,1.3172,5
"Mostaganem (Mostaganem)",35.9336,0.07124,5
"Dobroyd Aquatic Club (Sydney)",-33.8698,151.148,5
"Abbotsford 12ft Flying Squadron (Sydney)",-33.8482,151.133,5
"Faroysund (Kro)",59.2573,5.40579,7
"Pelagia (Piraeus)",36.328,22.9837,5
"Dhiakofti (Piraeus)",36.2698,23.0776,5
"Avelomona (Piraeus)",36.225,23.0825,7
"Órmos Kapsáli (Piraeus)",36.1432,23.0003,5
"Cap d´Agde (Le Cap d'Agde)",43.2729,3.50743,5
"Bandar Seri Begawan (Bandar Seri Begawan)",4.87477,114.951,5
"Port Ambonne (Le Cap d'Agde)",43.2937,3.52357,5
"Serignan (Valras-Plage)",43.2577,3.30277,5
"Killini (Kyllíni)",37.936,21.1475,5
"Kato Achaia (Káto Acha?a)",38.1573,21.5388,5
"Missalonghi (Pátrai)",38.3281,21.4167,5
"Patras (Pátrai)",38.2473,21.7274,5
"Patras Yacht Harbour (Pátrai)",38.2599,21.7373,5
"Sete (Sète)",43.3973,3.70025,5
"Marseillan Ville (Marseillan)",43.3529,3.53513,5
"Port Frontignan (Frontignan)",43.4335,3.77604,5
"Mèze (Sète)",43.4216,3.60606,5
"Marina Botafoch (Ibiza)",38.9108,1.44878,5
"Club Nautico de Ibiza (Ibiza)",38.9127,1.43595,5
"Marina Ibiza (Ibiza)",38.9134,1.44423,5
"Puerto Deportivo de Santa Eulalia (Ibiza)",38.9833,1.54,5
"Club Nautico de San Antonio Abad (Ibiza)",38.976,1.30128,5
